"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация пользователя","2","0","","0"
"0","","0","Создание рецепта","1","0","","0"
"0","","0","Регистрация пользователя","2","0","","0"
